num_client;recence;frequence;montant;seg_recence;seg_frequence;seg_montant
ID_188167;4;6;141.915;R2;F3;M3
ID_188191;2;6;133.57833333;R3;F3;M3
ID_188319;1;6;51.661666667;R3;F3;M2
ID_188460;1;2;37.4;R3;F2;M1
ID_188586;6;1;149.99;R2;F1;M3
ID_188675;2;3;24.36;R3;F2;M1
ID_188685;4;3;67.66;R2;F2;M2
ID_188703;1;1;134;R3;F1;M3
ID_189168;4;4;255.7475;R2;F3;M3
ID_189177;12;1;45;R1;F1;M1
ID_189290;7;2;92.21;R1;F2;M2
ID_189951;2;2;103.245;R3;F2;M3
ID_190204;1;4;43.935;R3;F3;M1
ID_190318;2;2;186.845;R3;F2;M3
ID_190390;2;6;37.338333333;R3;F3;M1
ID_190457;3;6;289.532;R2;F3;M3
ID_190551;1;8;93.87875;R3;F3;M2
ID_190874;12;1;30.2;R1;F1;M1
ID_190939;6;1;34.44;R2;F1;M1
ID_190962;11;2;46.745;R1;F2;M1
ID_191756;3;2;160.995;R2;F2;M3
ID_191873;11;2;77.49;R1;F2;M2
ID_192193;2;1;22;R3;F1;M1
ID_192208;11;1;41.5;R1;F1;M1
ID_192285;3;5;97.154;R2;F3;M2
ID_192566;3;3;17.88;R2;F2;M1
ID_192701;1;2;42.495;R3;F2;M1
ID_192758;1;7;51.131666667;R3;F3;M2
ID_192808;4;1;179.49;R2;F1;M3
ID_192913;11;1;414;R1;F1;M3
ID_193192;2;1;94.49;R3;F1;M2
ID_193196;3;2;74.24;R2;F2;M2
ID_193216;4;3;68.326666667;R2;F2;M2
ID_1933;2;1;94.49;R3;F1;M2
ID_193310;11;1;51.8;R1;F1;M2
ID_193504;11;1;121.6;R1;F1;M3
ID_193513;9;1;233;R1;F1;M3
ID_193650;12;1;59.49;R1;F1;M2
ID_193675;2;4;236.6175;R3;F3;M3
ID_193695;6;3;40.56;R2;F2;M1
ID_1937;1;2;46.845;R3;F2;M1
ID_193769;5;2;27.395;R2;F2;M1
ID_19419;1;6;16.85;R3;F3;M1
ID_194397;9;1;360;R1;F1;M3
ID_194728;12;2;47.49;R1;F2;M1
ID_194863;11;3;61.463333333;R1;F2;M2
ID_195043;4;1;341;R2;F1;M3
ID_195119;3;5;115.196;R2;F3;M3
ID_195172;5;2;161.24;R2;F2;M3
ID_19533;5;1;17.2;R2;F1;M1
ID_195344;6;2;227.95;R2;F2;M3
ID_195485;5;3;128.16666667;R2;F2;M3
ID_195520;10;1;38.5;R1;F1;M1
ID_195532;1;2;107.645;R3;F2;M3
ID_195856;3;2;103.74;R2;F2;M3
ID_195975;1;5;154.986;R3;F3;M3
ID_196820;9;1;101.5;R1;F1;M3
ID_196914;11;1;18.99;R1;F1;M1
ID_197007;1;2;38.345;R3;F2;M1
ID_197307;1;2;86.495;R3;F2;M2
ID_198049;11;1;201;R1;F1;M3
ID_198083;7;2;217;R1;F2;M3
ID_198156;10;3;31.99;R1;F2;M1
ID_198247;12;1;99.5;R1;F1;M2
ID_198249;1;1;71;R3;F1;M2
ID_198311;1;5;714.878;R3;F3;M3
ID_198418;9;1;33.49;R1;F1;M1
ID_198529;1;1;47.99;R3;F1;M1
ID_198553;4;1;22.2;R2;F1;M1
ID_198607;5;3;93.333333333;R2;F2;M2
ID_198614;6;1;18.9;R2;F1;M1
ID_198630;2;2;43.74;R3;F2;M1
ID_198792;2;1;433.99;R3;F1;M3
ID_198842;2;2;40.74;R3;F2;M1
ID_198987;2;3;32.99;R3;F2;M1
ID_199135;2;1;69.49;R3;F1;M2
ID_199417;1;2;45.04;R3;F2;M1
ID_199446;5;5;97.12;R2;F3;M2
